832
YOR272W| -1.58 -0.7
YOR294W| 1.33 -0.48
YPL043W| -0.51 -0.53
YPL126W| 1.12 0.82
YPR144C| -0.41 -1.51
YBL068W| 1.49 1.49
YBR158W| -1.07 0.5
YBR186W| 1.85 0.3
YCR055C| 1.43 -0.82
YCR065w| -1.13 -1.08
YDL037c| -0.7 -0.7
YDL042C| -1.24 -1.24
YDL182w| -0.42 0.35
YDR508C| 1.59 -0.46
YER145c| -1.32 1.27
YER165w| -0.48 0.78
YGR245C| -0.61 -1.09
YJL069C| 1.34 -1.04
YLR397C| 1.29 1.29
YMR108W| -0.7 0.6
YMR309C| 1.32 -0.35
YNL124W| 1.5 -0.32
YNL189W| -1.41 0.28
YOL007C| 0.01 0.01
YOL130W| -1.08 1.37
YAL043C| 0.4 0.4
YDR006C| -1.16 -1.16
YHR205W| -0.96 1.51
YJL195C| -0.9 -0.62
YPL061W| -0.62 0.63
YDR101C| 1.01 -0.9
YKL185W| -0.47 -0.75
YNL061W| 1.05 -1.84
YOR091W| 0.76 1.01
YAL003W| -0.21 1.15
YAL025C| 0 0
YAL046C| -1.12 -1.12
YAL059W| -1.56 1.02
YAR071W| -1.02 1.01
YAR074C| -0.22 0.96
YBL024W| 1.01 0.72
YBL039C| -1.56 0.9
YBR069C| -0.87 0.83
YBR079C| 1.19 0.93
YBR089W| 0.22 1.2
YBR093C| -0.47 1.5
YBR142W| -1.19 -1.19
YBR238C| -1.65 -1.65
YBR266C| -0.58 1.3
YCL046W| 0.91 0.91
YCL054W| -0.76 -0.31
YCR053w| -0.54 0.97
YDL050c| 0.95 1.03
YDL051W| -0.5 -0.04
YDL052C| -0.12 -1.46
YDL063c| -0.11 -0.31
YDL084w| -1.6 0.13
YDL111c| -0.25 -0.12
YDL122W| 0.83 0.83
YDL131w| 0.25 0.42
YDL140C| -0.23 -0.23
YDL148c| -1.82 0.85
YDL152w| -0.38 -0.18
YDL153c| 1.2 0.91
YDL167C| 0.94 1.02
YDL213c| 0.83 0.87
YDR024w| 0.36 0.36
YDR144C| -1.59 0.72
YDR165W| -1.52 0.97
YDR206W| -1.51 1.17
YDR324C| 0.89 0.89
YDR341C| 0.08 -1.6
YDR361C| 1.25 0.97
YDR398W| 0.95 -1
YDR492W| 0.78 1
YDR502C| 1.33 1.33
YDR527W| -1.29 -1.29
YEL033w| -0.05 -0.05
YEL040w| -0.08 1.17
YEL046c| 0.98 -0.56
YER002w| 1.01 0.95
YER006w| 1.25 -0.31
YER025w| -0.27 1.29
YER036c| -0.28 1.19
YER043c| 0.85 1.04
YER049w| 0.87 0.87
YER052c| 0.73 1.27
YER070w| -1.58 1.01
YER110c| 0.93 -0.31
YGR103W| -0.83 0.8
YGR123C| -1.87 -0.71
YGR124W| -0.06 -1.2
YGR145W| -0.29 -1.03
YGR155W| 1.03 -0.64
YGR160W| 1.23 1.07
YGR162W| 1.05 1.01
YGR264C| 0.04 0.04
YHR046C| -0.89 0.46
YHR052W| 0.91 -1.53
YHR064C| 1.05 0.12
YHR070W| -1.25 -1.27
YHR215W| 1.18 1.11
YIL053W| -1.13 1.19
YIL066C| 1.1 -1.6
YIL091C| -0.17 -1.18
YJL050W| -0.99 1.03
YJL109C| -0.07 -0.81
YJL122W| -1.71 -1.71
YJR003C| -0.14 -1.66
YJR016C| -0.15 -0.15
YJR041C| 1.3 -1.41
YJR054W| -0.39 0.98
YKL076C| 0.93 -1.45
YKL082C| 0.92 0.92
YKL181W| -1.39 -1.49
YKL191W| 0.82 -0.46
YLL008w| 0.91 -0.12
YLL021w| 0.12 -1.53
YLR068W| 1.74 -0.21
YLR084C| 0.13 -1.38
YLR180W| 0.93 0.93
YLR196W| -1.92 0.83
YLR221C| 1.39 -1.46
YLR223C| 1.49 -0.14
YLR243W| 0.99 -0.08
YLR244C| 1.42 1.42
YLR280C| 1.07 -0.19
YLR355C| 1.1 1.1
YLR409C| 1.05 1.05
YLR435W| 0.79 0.75
YLR449W| -1.2 -0.2
YML123C| -1.68 0.96
YMR011W| 0.81 -1.36
YMR014W| -0.18 1.35
YMR037C| 0.21 0.21
YMR049C| -1.08 1.28
YMR058W| 1.3 -0.15
YMR080C| 0.33 1.18
YMR128W| 0.97 0.97
YMR129W| 0.32 0.32
YMR146C| -0.21 -0.21
YMR217W| 1.05 -0.18
YMR229C| -1.27 0.02
YMR239C| 1.14 1.14
YMR241W| -0.06 -0.06
YMR246W| -1.37 1.18
YMR290C| 1.19 0.86
YNL002C| 0.78 -1.68
YNL013C| 0.8 -1.07
YNL060C| -1.4 0.97
YNL062C| -1.27 -0.35
YNL075W| 0.94 -0.09
YNL110C| -1.62 1.08
YNL112W| -0.82 -1.75
YNL120C| 0.8 -1.14
YNL123W| 0.48 -0.11
YNL132W| 0.96 0.96
YNL141W| 0.9 -1.32
YNL174W| -0.5 1.02
YNL182C| -0.2 1.07
YNL207W| -0.26 -0.18
YNL216W| 0.95 0.18
YNL221C| 0.29 0.9
YNL256W| 1.18 -0.26
